3165,E200497E93D143B134FFA50E,1,905.25,80823756,-58.5,21.94,1.84,84717851
3166,E200497E93D1543134FFA550,1,905.25,80823757,-62,75.63,6.24,84717853
3167,E200497E93D13B7134FFA4ED,1,905.25,80823758,-65,48.81,4.61,84717854
3168,E2003412DC03011815004228,1,905.25,80823758,-47.5,9.75,0.17,84717854
3169,E200497E93D13C3134FFA4F0,1,905.25,80823759,-63,14.63,2.66,84717854
3170,E200497E93D15F7134FFA57D,1,905.25,80823759,-60,-13.38,4.14,84717855
3171,E200497E93D1623134FFA588,1,905.25,80823760,-61.5,4.88,0.80,84717855
3172,E200497E93D1833134FFA60C,1,905.25,80823760,-67.5,26.81,1.26,84717856
3173,E200497E93D1603134FFA580,1,905.25,80823762,-57.5,0.00,0.64,84717856
3174,E200497E93D188B134FFA622,1,905.25,80823763,-62.5,-50.00,0.80,84717856
3175,E200497E93D15DB134FFA576,1,905.25,80823765,-56,43.94,2.02,84717857
3176,E200497E93D165F134FFA597,1,905.25,80823765,-61.5,23.19,3.03,84717857
3177,E200497E93D12CB134FFA4B2,1,905.25,80823766,-67.5,-32.94,3.84,84717857
3178,E200497E93D141F134FFA507,1,905.25,80823766,-64.5,-51.25,5.84,84717857
3179,E200497E93D17EB134FFA5FA,1,905.25,80823767,-68.5,-41.50,4.35,84717858
3180,E200497E93D1543134FFA550,1,905.25,80823771,-62,9.75,0.00,84717867
3181,E200497E93D188B134FFA622,1,905.25,80823772,-63,80.56,0.47,84717868
3182,E200497E93D143B134FFA50E,1,905.25,80823772,-59,0.00,1.90,84717868
3183,E200497E93D1603134FFA580,1,905.25,80823773,-57.5,12.19,0.63,84717868
3184,E200497E93D141F134FFA507,1,905.25,80823773,-64.5,-73.19,5.81,84717869
3185,E200497E93D13C3134FFA4F0,1,905.25,80823774,-62,-14.63,2.77,84717870
3186,E200497E93D13B7134FFA4ED,1,905.25,80823775,-65,-32.94,4.83,84717870
3187,E200497E93D165F134FFA597,1,905.25,80823776,-61.5,23.19,3.05,84717870
3188,E200497E93D15F7134FFA57D,1,905.25,80823777,-60.5,-34.13,4.11,84717870
3189,E2003412DC03011815004228,1,905.25,80823777,-47.5,12.19,0.15,84717871
3190,E200497E93D15DB134FFA576,1,905.25,80823778,-56,31.69,2.05,84717871
3191,E200497E93D1623134FFA588,1,905.25,80823779,-61.5,-43.94,0.85,84717871
3192,E200497E93D13E3134FFA4F8,1,905.25,80823781,-65.5,42.69,2.93,84717872
3193,E200497E93D1833134FFA60C,1,905.25,80823782,-68,14.63,1.31,84717872
3194,E200497E93D12CB134FFA4B2,1,905.25,80823783,-68.5,0.00,3.71,84717872
3195,E200497E93D17EB134FFA5FA,1,905.25,80823784,-68.5,36.56,4.43,84717873
3196,E200497E93D13E3134FFA4F8,1,905.25,80823794,-65,58.56,2.93,84717890
